epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6682,1.46759,3.06589,1.6448,0.51501,0.38955,0.36858,0.26444,1.60371,3.59478,1.78882,0.000331439,0.000331439,0.000331439
2,183.808,1.47738,2.46022,1.62397,0.42314,0.48917,0.41587,0.28705,1.64771,3.01363,1.81562,0.000642835,0.000642835,0.000642835
3,270.543,1.49394,2.33981,1.63281,0.44963,0.39446,0.39164,0.28498,1.75727,2.92728,1.95963,0.000932231,0.000932231,0.000932231
4,357.816,1.46795,2.19876,1.60337,0.49671,0.42417,0.43671,0.31585,1.64284,2.52612,1.75,0.000901,0.000901,0.000901
5,444.73,1.4447,2.09052,1.58084,0.65533,0.47873,0.47004,0.33307,1.58583,2.40147,1.69431,0.000868,0.000868,0.000868
6,533.864,1.40067,2.00882,1.54848,0.46548,0.48553,0.46267,0.3213,1.60276,2.4753,1.75736,0.000835,0.000835,0.000835
7,621.167,1.37144,1.90656,1.52623,0.54485,0.5225,0.51177,0.37537,1.51272,2.11526,1.6642,0.000802,0.000802,0.000802
8,708.366,1.34495,1.85403,1.50107,0.6747,0.51493,0.53316,0.40656,1.45432,2.0622,1.62145,0.000769,0.000769,0.000769
9,795.134,1.30971,1.78753,1.48333,0.58595,0.55403,0.5658,0.42233,1.42468,1.94102,1.55213,0.000736,0.000736,0.000736
10,884.254,1.31199,1.75715,1.47152,0.60548,0.55322,0.56465,0.42005,1.45318,1.99793,1.62185,0.000703,0.000703,0.000703
11,970.864,1.2597,1.70258,1.44489,0.58364,0.55018,0.56469,0.43699,1.40382,1.94654,1.5607,0.00067,0.00067,0.00067
12,1059.52,1.26429,1.66939,1.441,0.59568,0.56539,0.58335,0.44947,1.40448,1.89089,1.54522,0.000637,0.000637,0.000637
13,1146.3,1.24224,1.6242,1.4278,0.60969,0.60962,0.61921,0.4726,1.36518,1.7422,1.52325,0.000604,0.000604,0.000604
14,1234.61,1.20981,1.5841,1.40939,0.64666,0.61761,0.63243,0.48132,1.33711,1.68163,1.49017,0.000571,0.000571,0.000571
15,1321.25,1.19831,1.53671,1.39797,0.63238,0.60968,0.63271,0.48272,1.3363,1.74609,1.49756,0.000538,0.000538,0.000538
16,1408.3,1.18785,1.50286,1.39311,0.63971,0.62089,0.6269,0.48105,1.31744,1.69361,1.47424,0.000505,0.000505,0.000505
17,1494.81,1.17742,1.49125,1.37567,0.64417,0.6402,0.64309,0.49023,1.30072,1.63126,1.46947,0.000472,0.000472,0.000472
18,1582.17,1.14922,1.43103,1.35298,0.66687,0.63624,0.65556,0.50029,1.30139,1.55462,1.44454,0.000439,0.000439,0.000439
19,1669.76,1.15187,1.41369,1.35516,0.64559,0.63829,0.65371,0.50519,1.28658,1.54116,1.43851,0.000406,0.000406,0.000406
20,1756.87,1.11938,1.36971,1.33691,0.65354,0.63418,0.65427,0.51605,1.25418,1.54682,1.41009,0.000373,0.000373,0.000373
21,1845.72,1.13982,1.40098,1.359,0.67284,0.63933,0.66653,0.51345,1.29086,1.52394,1.45532,0.00034,0.00034,0.00034
22,1929.82,1.1144,1.32214,1.33464,0.67671,0.6525,0.66267,0.50954,1.27429,1.5511,1.4548,0.000307,0.000307,0.000307
23,2014.58,1.0852,1.25301,1.30754,0.6873,0.64983,0.66888,0.51348,1.2841,1.55121,1.43857,0.000274,0.000274,0.000274
24,2098.64,1.0698,1.2259,1.28864,0.67294,0.66599,0.67621,0.52701,1.2604,1.4738,1.41119,0.000241,0.000241,0.000241
25,2181.27,1.05297,1.18265,1.29038,0.67384,0.68938,0.68952,0.52958,1.26303,1.46281,1.42864,0.000208,0.000208,0.000208
26,2263.98,1.03725,1.15442,1.26572,0.701,0.67746,0.69109,0.54238,1.22724,1.41424,1.39064,0.000175,0.000175,0.000175
27,2344.88,1.0125,1.10141,1.25144,0.71375,0.67087,0.69844,0.54603,1.22599,1.41435,1.39157,0.000142,0.000142,0.000142
28,2426.45,0.99933,1.05794,1.24146,0.73438,0.66534,0.69669,0.54586,1.23224,1.41233,1.40217,0.000109,0.000109,0.000109
29,2508.57,0.97805,1.03064,1.22872,0.69742,0.67684,0.69431,0.54537,1.23162,1.40545,1.40874,7.6e-05,7.6e-05,7.6e-05
30,2592.95,0.95797,1.01549,1.21607,0.73532,0.66445,0.70295,0.54925,1.22583,1.3742,1.40213,4.3e-05,4.3e-05,4.3e-05
